epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,375.308,0.33807,0.99818,1,0.021,0.000467173,0.000467173,0.000467173
2,887.186,0.15453,0.95803,1,0.15493,0.000906144,0.000906144,0.000906144
3,1334.37,0.21919,0.96898,1,0.5467,0.00130739,0.00130739,0.00130739
4,1838.31,0.22089,0.77007,1,1.22875,0.00125923,0.00125923,0.00125923
5,2303.42,0.18897,0.97628,1,0.08289,0.00120265,0.00120265,0.00120265
6,2721.4,0.13781,0.93248,1,0.21348,0.00114606,0.00114606,0.00114606
7,3196.16,0.10525,0.99088,1,0.02522,0.00108947,0.00108947,0.00108947
8,3746.11,0.12695,0.98723,1,0.05332,0.00103288,0.00103288,0.00103288
9,4304.84,0.11753,0.98358,1,0.05772,0.000976293,0.000976293,0.000976293
10,4698.93,0.07901,0.98358,1,0.03763,0.000919704,0.000919704,0.000919704
11,5083.84,0.06707,0.9854,1,0.03056,0.000863116,0.000863116,0.000863116
12,5533.18,0.05703,0.99453,1,0.01922,0.000806528,0.000806528,0.000806528
13,6030.38,0.04711,0.9854,1,0.04869,0.000749939,0.000749939,0.000749939
14,6523.1,0.06895,0.99088,1,0.02186,0.000693351,0.000693351,0.000693351
15,7028.45,0.06768,0.98723,1,0.03636,0.000636762,0.000636762,0.000636762
16,7531.45,0.04784,0.98905,1,0.02824,0.000580174,0.000580174,0.000580174
17,8038.27,0.03493,0.99453,1,0.02526,0.000523586,0.000523586,0.000523586
18,8564.89,0.0341,0.99453,1,0.01848,0.000466997,0.000466997,0.000466997
19,9094.05,0.03961,0.99453,1,0.02263,0.000410409,0.000410409,0.000410409
20,9565.39,0.02175,0.99635,1,0.02397,0.00035382,0.00035382,0.00035382
21,10049,0.03527,0.99635,1,0.02285,0.000297232,0.000297232,0.000297232
22,10555.6,0.02137,0.99635,1,0.01955,0.000240644,0.000240644,0.000240644
23,10877.7,0.02127,0.99635,1,0.01394,0.000184055,0.000184055,0.000184055
24,11277.3,0.02675,0.99635,1,0.01601,0.000127467,0.000127467,0.000127467
25,11744.2,0.019,0.99635,1,0.0178,7.08784e-05,7.08784e-05,7.08784e-05
